,Suburb,Rooms,Type,Price,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Regionname,Propertycount,zipcode,airbnb_record_count,airbnb_price_mean,airbnb_price_std,airbnb_weekly_price_mean,airbnb_weekly_price_std,airbnb_monthly_price_mean,airbnb_monthly_price_std
0,Abbotsford,2,h,1480000.0,2.5,3067,2.0,1.0,1.0,202.0,,,Yarra,Northern Metropolitan,4019.0,3067.0,258.0,130.62403100775194,115.26748676824155,605.1521739130435,578.5569775990109,2187.032258064516,2142.6740222421604
1,Abbotsford,2,h,1035000.0,2.5,3067,2.0,1.0,0.0,156.0,79.0,1900.0,Yarra,Northern Metropolitan,4019.0,3067.0,258.0,130.62403100775194,115.26748676824155,605.1521739130435,578.5569775990109,2187.032258064516,2142.6740222421604
2,Abbotsford,3,h,1465000.0,2.5,3067,3.0,2.0,0.0,134.0,150.0,1900.0,Yarra,Northern Metropolitan,4019.0,3067.0,258.0,130.62403100775194,115.26748676824155,605.1521739130435,578.5569775990109,2187.032258064516,2142.6740222421604
3,Abbotsford,3,h,850000.0,2.5,3067,3.0,2.0,1.0,94.0,,,Yarra,Northern Metropolitan,4019.0,3067.0,258.0,130.62403100775194,115.26748676824155,605.1521739130435,578.5569775990109,2187.032258064516,2142.6740222421604
4,Abbotsford,4,h,1600000.0,2.5,3067,3.0,1.0,2.0,120.0,142.0,2014.0,Yarra,Northern Metropolitan,4019.0,3067.0,258.0,130.62403100775194,115.26748676824155,605.1521739130435,578.5569775990109,2187.032258064516,2142.6740222421604
5,Abbotsford,2,h,941000.0,2.5,3067,2.0,1.0,0.0,181.0,,,Yarra,Northern Metropolitan,4019.0,3067.0,258.0,130.62403100775194,115.26748676824155,605.1521739130435,578.5569775990109,2187.032258064516,2142.6740222421604
6,Abbotsford,3,h,1876000.0,2.5,3067,4.0,2.0,0.0,245.0,210.0,1910.0,Yarra,Northern Metropolitan,4019.0,3067.0,258.0,130.62403100775194,115.26748676824155,605.1521739130435,578.5569775990109,2187.032258064516,2142.6740222421604
7,Abbotsford,2,h,1636000.0,2.5,3067,2.0,1.0,2.0,256.0,107.0,1890.0,Yarra,Northern Metropolitan,4019.0,3067.0,258.0,130.62403100775194,115.26748676824155,605.1521739130435,578.5569775990109,2187.032258064516,2142.6740222421604
8,Abbotsford,1,u,300000.0,2.5,3067,1.0,1.0,1.0,0.0,,,Yarra,Northern Metropolitan,4019.0,3067.0,258.0,130.62403100775194,115.26748676824155,605.1521739130435,578.5569775990109,2187.032258064516,2142.6740222421604
9,Abbotsford,2,h,1097000.0,2.5,3067,3.0,1.0,2.0,220.0,75.0,1900.0,Yarra,Northern Metropolitan,4019.0,3067.0,258.0,130.62403100775194,115.26748676824155,605.1521739130435,578.5569775990109,2187.032258064516,2142.6740222421604
10,Abbotsford,2,u,700000.0,2.5,3067,2.0,2.0,1.0,0.0,,,Yarra,Northern Metropolitan,4019.0,3067.0,258.0,130.62403100775194,115.26748676824155,605.1521739130435,578.5569775990109,2187.032258064516,2142.6740222421604
11,Abbotsford,3,h,1350000.0,2.5,3067,3.0,2.0,2.0,214.0,190.0,2005.0,Yarra,Northern Metropolitan,4019.0,3067.0,258.0,130.62403100775194,115.26748676824155,605.1521739130435,578.5569775990109,2187.032258064516,2142.6740222421604
12,Abbotsford,2,u,750000.0,2.5,3067,2.0,2.0,1.0,0.0,94.0,2009.0,Yarra,Northern Metropolitan,4019.0,3067.0,258.0,130.62403100775194,115.26748676824155,605.1521739130435,578.5569775990109,2187.032258064516,2142.6740222421604
13,Abbotsford,2,h,1172500.0,2.5,3067,2.0,1.0,1.0,195.0,,,Yarra,Northern Metropolitan,4019.0,3067.0,258.0,130.62403100775194,115.26748676824155,605.1521739130435,578.5569775990109,2187.032258064516,2142.6740222421604
14,Abbotsford,1,u,441000.0,2.5,3067,1.0,1.0,1.0,0.0,,,Yarra,Northern Metropolitan,4019.0,3067.0,258.0,130.62403100775194,115.26748676824155,605.1521739130435,578.5569775990109,2187.032258064516,2142.6740222421604
15,Abbotsford,2,h,1310000.0,2.5,3067,2.0,1.0,2.0,238.0,97.0,1890.0,Yarra,Northern Metropolitan,4019.0,3067.0,258.0,130.62403100775194,115.26748676824155,605.1521739130435,578.5569775990109,2187.032258064516,2142.6740222421604
16,Abbotsford,3,h,1200000.0,2.5,3067,3.0,2.0,1.0,113.0,110.0,1880.0,Yarra,Northern Metropolitan,4019.0,3067.0,258.0,130.62403100775194,115.26748676824155,605.1521739130435,578.5569775990109,2187.032258064516,2142.6740222421604
17,Abbotsford,3,h,1176500.0,2.5,3067,2.0,1.0,1.0,138.0,105.0,1890.0,Yarra,Northern Metropolitan,4019.0,3067.0,258.0,130.62403100775194,115.26748676824155,605.1521739130435,578.5569775990109,2187.032258064516,2142.6740222421604
18,Abbotsford,3,h,955000.0,2.5,3067,3.0,1.0,0.0,183.0,,,Yarra,Northern Metropolitan,4019.0,3067.0,258.0,130.62403100775194,115.26748676824155,605.1521739130435,578.5569775990109,2187.032258064516,2142.6740222421604
19,Abbotsford,2,h,890000.0,2.5,3067,2.0,1.0,1.0,150.0,73.0,1985.0,Yarra,Northern Metropolitan,4019.0,3067.0,258.0,130.62403100775194,115.26748676824155,605.1521739130435,578.5569775990109,2187.032258064516,2142.6740222421604
