,Suburb,Rooms,Type,Price,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Regionname,Propertycount,zipcode,airbnb_record_count,airbnb_price_mean,airbnb_price_std,airbnb_weekly_price_mean,airbnb_weekly_price_std,airbnb_monthly_price_mean,airbnb_monthly_price_std
0,Abbotsford,2,h,1035000.0,2.5,3067,2.0,1.0,0.0,156.0,79.0,1900.0,Yarra,Northern Metropolitan,4019.0,3067.0,258.0,130.62403100775194,115.26748676824155,605.1521739130435,578.5569775990109,2187.032258064516,2142.6740222421604
1,Abbotsford,3,h,1465000.0,2.5,3067,3.0,2.0,0.0,134.0,150.0,1900.0,Yarra,Northern Metropolitan,4019.0,3067.0,258.0,130.62403100775194,115.26748676824155,605.1521739130435,578.5569775990109,2187.032258064516,2142.6740222421604
2,Abbotsford,4,h,1600000.0,2.5,3067,3.0,1.0,2.0,120.0,142.0,2014.0,Yarra,Northern Metropolitan,4019.0,3067.0,258.0,130.62403100775194,115.26748676824155,605.1521739130435,578.5569775990109,2187.032258064516,2142.6740222421604
3,Abbotsford,3,h,1876000.0,2.5,3067,4.0,2.0,0.0,245.0,210.0,1910.0,Yarra,Northern Metropolitan,4019.0,3067.0,258.0,130.62403100775194,115.26748676824155,605.1521739130435,578.5569775990109,2187.032258064516,2142.6740222421604
4,Abbotsford,2,h,1636000.0,2.5,3067,2.0,1.0,2.0,256.0,107.0,1890.0,Yarra,Northern Metropolitan,4019.0,3067.0,258.0,130.62403100775194,115.26748676824155,605.1521739130435,578.5569775990109,2187.032258064516,2142.6740222421604
5,Abbotsford,2,h,1097000.0,2.5,3067,3.0,1.0,2.0,220.0,75.0,1900.0,Yarra,Northern Metropolitan,4019.0,3067.0,258.0,130.62403100775194,115.26748676824155,605.1521739130435,578.5569775990109,2187.032258064516,2142.6740222421604
6,Abbotsford,3,h,1350000.0,2.5,3067,3.0,2.0,2.0,214.0,190.0,2005.0,Yarra,Northern Metropolitan,4019.0,3067.0,258.0,130.62403100775194,115.26748676824155,605.1521739130435,578.5569775990109,2187.032258064516,2142.6740222421604
7,Abbotsford,2,u,750000.0,2.5,3067,2.0,2.0,1.0,0.0,94.0,2009.0,Yarra,Northern Metropolitan,4019.0,3067.0,258.0,130.62403100775194,115.26748676824155,605.1521739130435,578.5569775990109,2187.032258064516,2142.6740222421604
8,Abbotsford,2,h,1310000.0,2.5,3067,2.0,1.0,2.0,238.0,97.0,1890.0,Yarra,Northern Metropolitan,4019.0,3067.0,258.0,130.62403100775194,115.26748676824155,605.1521739130435,578.5569775990109,2187.032258064516,2142.6740222421604
9,Abbotsford,3,h,1200000.0,2.5,3067,3.0,2.0,1.0,113.0,110.0,1880.0,Yarra,Northern Metropolitan,4019.0,3067.0,258.0,130.62403100775194,115.26748676824155,605.1521739130435,578.5569775990109,2187.032258064516,2142.6740222421604
10,Abbotsford,3,h,1176500.0,2.5,3067,2.0,1.0,1.0,138.0,105.0,1890.0,Yarra,Northern Metropolitan,4019.0,3067.0,258.0,130.62403100775194,115.26748676824155,605.1521739130435,578.5569775990109,2187.032258064516,2142.6740222421604
11,Abbotsford,2,h,890000.0,2.5,3067,2.0,1.0,1.0,150.0,73.0,1985.0,Yarra,Northern Metropolitan,4019.0,3067.0,258.0,130.62403100775194,115.26748676824155,605.1521739130435,578.5569775990109,2187.032258064516,2142.6740222421604
12,Abbotsford,4,h,1330000.0,2.5,3067,4.0,2.0,2.0,780.0,135.0,1900.0,Yarra,Northern Metropolitan,4019.0,3067.0,258.0,130.62403100775194,115.26748676824155,605.1521739130435,578.5569775990109,2187.032258064516,2142.6740222421604
13,Abbotsford,2,u,500000.0,2.5,3067,2.0,1.0,1.0,0.0,60.0,1970.0,Yarra,Northern Metropolitan,4019.0,3067.0,258.0,130.62403100775194,115.26748676824155,605.1521739130435,578.5569775990109,2187.032258064516,2142.6740222421604
14,Abbotsford,2,h,1100000.0,2.5,3067,2.0,2.0,1.0,124.0,135.0,2013.0,Yarra,Northern Metropolitan,4019.0,3067.0,258.0,130.62403100775194,115.26748676824155,605.1521739130435,578.5569775990109,2187.032258064516,2142.6740222421604
15,Abbotsford,2,h,1315000.0,2.5,3067,2.0,1.0,0.0,147.0,85.0,1900.0,Yarra,Northern Metropolitan,4019.0,3067.0,258.0,130.62403100775194,115.26748676824155,605.1521739130435,578.5569775990109,2187.032258064516,2142.6740222421604
16,Abbotsford,3,h,1447500.0,2.5,3067,3.0,3.0,1.0,166.0,174.0,2012.0,Yarra,Northern Metropolitan,4019.0,3067.0,258.0,130.62403100775194,115.26748676824155,605.1521739130435,578.5569775990109,2187.032258064516,2142.6740222421604
17,Abbotsford,2,h,1135000.0,2.5,3067,2.0,2.0,2.0,98.0,128.0,1920.0,Yarra,Northern Metropolitan,4019.0,3067.0,258.0,130.62403100775194,115.26748676824155,605.1521739130435,578.5569775990109,2187.032258064516,2142.6740222421604
18,Abbotsford,3,h,1290000.0,2.5,3067,3.0,1.0,1.0,168.0,124.0,1950.0,Yarra,Northern Metropolitan,4019.0,3067.0,258.0,130.62403100775194,115.26748676824155,605.1521739130435,578.5569775990109,2187.032258064516,2142.6740222421604
19,Abbotsford,1,u,470000.0,2.5,3067,1.0,1.0,1.0,0.0,50.0,2013.0,Yarra,Northern Metropolitan,4019.0,3067.0,258.0,130.62403100775194,115.26748676824155,605.1521739130435,578.5569775990109,2187.032258064516,2142.6740222421604
20,Abbotsford,2,h,1180000.0,2.5,3067,2.0,1.0,0.0,162.0,91.0,1900.0,Yarra,Northern Metropolitan,4019.0,3067.0,258.0,130.62403100775194,115.26748676824155,605.1521739130435,578.5569775990109,2187.032258064516,2142.6740222421604
21,Abbotsford,3,h,1195000.0,2.5,3067,3.0,2.0,1.0,120.0,128.0,1998.0,Yarra,Northern Metropolitan,4019.0,3067.0,258.0,130.62403100775194,115.26748676824155,605.1521739130435,578.5569775990109,2187.032258064516,2142.6740222421604
22,Abbotsford,2,h,1012500.0,2.5,3067,2.0,1.0,0.0,182.0,82.0,1900.0,Yarra,Northern Metropolitan,4019.0,3067.0,258.0,130.62403100775194,115.26748676824155,605.1521739130435,578.5569775990109,2187.032258064516,2142.6740222421604
23,Abbotsford,2,h,1030000.0,2.5,3067,2.0,1.0,1.0,172.0,81.0,1930.0,Yarra,Northern Metropolitan,4019.0,3067.0,258.0,130.62403100775194,115.26748676824155,605.1521739130435,578.5569775990109,2187.032258064516,2142.6740222421604
24,Airport West,3,t,840000.0,13.5,3042,3.0,2.0,1.0,303.0,225.0,2016.0,Moonee Valley,Western Metropolitan,3464.0,3042.0,35.0,81.57142857142857,52.77771684108724,568.2,273.4249439974341,1800.75,676.265911704363
25,Airport West,3,h,730000.0,13.5,3042,3.0,2.0,1.0,0.0,145.0,1965.0,Moonee Valley,Western Metropolitan,3464.0,3042.0,35.0,81.57142857142857,52.77771684108724,568.2,273.4249439974341,1800.75,676.265911704363
26,Airport West,3,h,770000.0,13.5,3042,3.0,2.0,1.0,0.0,145.0,1965.0,Moonee Valley,Western Metropolitan,3464.0,3042.0,35.0,81.57142857142857,52.77771684108724,568.2,273.4249439974341,1800.75,676.265911704363
27,Airport West,2,h,603000.0,13.5,3042,2.0,1.0,1.0,272.0,84.0,1950.0,Moonee Valley,Western Metropolitan,3464.0,3042.0,35.0,81.57142857142857,52.77771684108724,568.2,273.4249439974341,1800.75,676.265911704363
28,Airport West,3,t,700000.0,13.5,3042,3.0,2.0,2.0,239.0,134.0,2009.0,Moonee Valley,Western Metropolitan,3464.0,3042.0,35.0,81.57142857142857,52.77771684108724,568.2,273.4249439974341,1800.75,676.265911704363
29,Airport West,3,h,600000.0,13.5,3042,2.0,1.0,1.0,290.0,116.0,1980.0,Moonee Valley,Western Metropolitan,3464.0,3042.0,35.0,81.57142857142857,52.77771684108724,568.2,273.4249439974341,1800.75,676.265911704363
30,Airport West,2,u,500000.0,13.5,3042,2.0,1.0,1.0,168.0,86.0,2011.0,Moonee Valley,Western Metropolitan,3464.0,3042.0,35.0,81.57142857142857,52.77771684108724,568.2,273.4249439974341,1800.75,676.265911704363
31,Airport West,6,h,725000.0,13.5,3042,6.0,3.0,2.0,976.0,186.0,1980.0,Moonee Valley,Western Metropolitan,3464.0,3042.0,35.0,81.57142857142857,52.77771684108724,568.2,273.4249439974341,1800.75,676.265911704363
32,Airport West,2,t,450000.0,13.5,3042,2.0,1.0,1.0,110.0,90.0,2015.0,Moonee Valley,Western Metropolitan,3464.0,3042.0,35.0,81.57142857142857,52.77771684108724,568.2,273.4249439974341,1800.75,676.265911704363
33,Airport West,2,u,515000.0,13.5,3042,2.0,1.0,1.0,141.0,73.0,2013.0,Moonee Valley,Western Metropolitan,3464.0,3042.0,35.0,81.57142857142857,52.77771684108724,568.2,273.4249439974341,1800.75,676.265911704363
34,Airport West,2,u,530000.0,13.5,3042,2.0,1.0,1.0,120.0,94.0,2012.0,Moonee Valley,Western Metropolitan,3464.0,3042.0,35.0,81.57142857142857,52.77771684108724,568.2,273.4249439974341,1800.75,676.265911704363
35,Airport West,3,h,895000.0,13.5,3042,3.0,1.0,6.0,1063.0,133.0,1975.0,Moonee Valley,Western Metropolitan,3464.0,3042.0,35.0,81.57142857142857,52.77771684108724,568.2,273.4249439974341,1800.75,676.265911704363
36,Airport West,3,h,805000.0,13.5,3042,3.0,1.0,1.0,0.0,105.0,1950.0,Moonee Valley,Western Metropolitan,3464.0,3042.0,35.0,81.57142857142857,52.77771684108724,568.2,273.4249439974341,1800.75,676.265911704363
37,Airport West,3,u,752000.0,13.5,3042,3.0,1.0,1.0,265.0,130.0,1993.0,Moonee Valley,Western Metropolitan,3464.0,3042.0,35.0,81.57142857142857,52.77771684108724,568.2,273.4249439974341,1800.75,676.265911704363
38,Airport West,3,t,700000.0,13.5,3042,3.0,2.0,2.0,165.0,133.0,2009.0,Moonee Valley,Western Metropolitan,3464.0,3042.0,35.0,81.57142857142857,52.77771684108724,568.2,273.4249439974341,1800.75,676.265911704363
39,Airport West,3,h,830000.0,13.5,3042,3.0,1.0,2.0,971.0,113.0,1960.0,Moonee Valley,Western Metropolitan,3464.0,3042.0,35.0,81.57142857142857,52.77771684108724,568.2,273.4249439974341,1800.75,676.265911704363
40,Airport West,2,h,675000.0,13.5,3042,2.0,1.0,1.0,612.0,100.0,1975.0,Moonee Valley,Western Metropolitan,3464.0,3042.0,35.0,81.57142857142857,52.77771684108724,568.2,273.4249439974341,1800.75,676.265911704363
41,Airport West,3,h,1042000.0,13.5,3042,3.0,2.0,5.0,612.0,174.0,1950.0,Moonee Valley,Western Metropolitan,3464.0,3042.0,35.0,81.57142857142857,52.77771684108724,568.2,273.4249439974341,1800.75,676.265911704363
42,Airport West,4,h,773000.0,13.5,3042,5.0,3.0,4.0,531.0,309.0,1980.0,Moonee Valley,Western Metropolitan,3464.0,3042.0,35.0,81.57142857142857,52.77771684108724,568.2,273.4249439974341,1800.75,676.265911704363
43,Airport West,3,h,810000.0,13.5,3042,3.0,3.0,2.0,555.0,192.0,1980.0,Moonee Valley,Western Metropolitan,3464.0,3042.0,35.0,81.57142857142857,52.77771684108724,568.2,273.4249439974341,1800.75,676.265911704363
44,Airport West,3,h,715000.0,13.5,3042,3.0,2.0,2.0,422.0,126.0,1995.0,Moonee Valley,Western Metropolitan,3464.0,3042.0,35.0,81.57142857142857,52.77771684108724,568.2,273.4249439974341,1800.75,676.265911704363
45,Airport West,3,t,540000.0,13.5,3042,2.0,2.0,1.0,161.0,101.0,2010.0,Moonee Valley,Western Metropolitan,3464.0,3042.0,35.0,81.57142857142857,52.77771684108724,568.2,273.4249439974341,1800.75,676.265911704363
46,Airport West,3,t,825000.0,13.5,3042,3.0,2.0,1.0,293.0,102.0,1960.0,Moonee Valley,Western Metropolitan,3464.0,3042.0,35.0,81.57142857142857,52.77771684108724,568.2,273.4249439974341,1800.75,676.265911704363
47,Airport West,3,h,685000.0,13.5,3042,3.0,1.0,1.0,579.0,113.0,1975.0,Moonee Valley,Western Metropolitan,3464.0,3042.0,35.0,81.57142857142857,52.77771684108724,568.2,273.4249439974341,1800.75,676.265911704363
48,Airport West,4,h,900000.0,13.5,3042,4.0,2.0,3.0,628.0,146.0,1975.0,Moonee Valley,Western Metropolitan,3464.0,3042.0,35.0,81.57142857142857,52.77771684108724,568.2,273.4249439974341,1800.75,676.265911704363
49,Albert Park,2,h,1275000.0,3.3,3206,2.0,1.0,0.0,120.0,82.0,1900.0,Port Phillip,Southern Metropolitan,3280.0,3206.0,122.0,229.41803278688525,169.8390020409914,1187.4,926.8159651912202,3734.0,2338.2864808801055
50,Albert Park,3,h,2850000.0,3.3,3206,3.0,2.0,0.0,211.0,198.0,1890.0,Port Phillip,Southern Metropolitan,3280.0,3206.0,122.0,229.41803278688525,169.8390020409914,1187.4,926.8159651912202,3734.0,2338.2864808801055
51,Albert Park,3,h,1850000.0,3.3,3206,3.0,2.0,0.0,128.0,133.0,1890.0,Port Phillip,Southern Metropolitan,3280.0,3206.0,122.0,229.41803278688525,169.8390020409914,1187.4,926.8159651912202,3734.0,2338.2864808801055
52,Albert Park,2,h,1436000.0,3.3,3206,2.0,1.0,0.0,130.0,81.0,1900.0,Port Phillip,Southern Metropolitan,3280.0,3206.0,122.0,229.41803278688525,169.8390020409914,1187.4,926.8159651912202,3734.0,2338.2864808801055
53,Albert Park,4,h,2300000.0,3.3,3206,4.0,2.0,1.0,153.0,180.0,1880.0,Port Phillip,Southern Metropolitan,3280.0,3206.0,122.0,229.41803278688525,169.8390020409914,1187.4,926.8159651912202,3734.0,2338.2864808801055
54,Albert Park,3,h,1800000.0,3.3,3206,3.0,2.0,1.0,132.0,159.0,1996.0,Port Phillip,Southern Metropolitan,3280.0,3206.0,122.0,229.41803278688525,169.8390020409914,1187.4,926.8159651912202,3734.0,2338.2864808801055
55,Albert Park,2,h,2120000.0,3.3,3206,2.0,1.0,1.0,199.0,107.0,1900.0,Port Phillip,Southern Metropolitan,3280.0,3206.0,122.0,229.41803278688525,169.8390020409914,1187.4,926.8159651912202,3734.0,2338.2864808801055
56,Albert Park,3,h,1800000.0,3.3,3206,3.0,2.0,1.0,90.0,122.0,1900.0,Port Phillip,Southern Metropolitan,3280.0,3206.0,122.0,229.41803278688525,169.8390020409914,1187.4,926.8159651912202,3734.0,2338.2864808801055
57,Albert Park,3,h,2615000.0,3.3,3206,3.0,2.0,1.0,177.0,181.0,1880.0,Port Phillip,Southern Metropolitan,3280.0,3206.0,122.0,229.41803278688525,169.8390020409914,1187.4,926.8159651912202,3734.0,2338.2864808801055
58,Albert Park,3,h,1370000.0,3.3,3206,3.0,2.0,2.0,0.0,85.0,2000.0,Port Phillip,Southern Metropolitan,3280.0,3206.0,122.0,229.41803278688525,169.8390020409914,1187.4,926.8159651912202,3734.0,2338.2864808801055
59,Albert Park,2,h,1322500.0,3.3,3206,2.0,1.0,0.0,149.0,98.0,1890.0,Port Phillip,Southern Metropolitan,3280.0,3206.0,122.0,229.41803278688525,169.8390020409914,1187.4,926.8159651912202,3734.0,2338.2864808801055
60,Albert Park,2,h,1562500.0,3.3,3206,2.0,1.0,0.0,141.0,83.0,1890.0,Port Phillip,Southern Metropolitan,3280.0,3206.0,122.0,229.41803278688525,169.8390020409914,1187.4,926.8159651912202,3734.0,2338.2864808801055
61,Albert Park,3,h,2000000.0,3.3,3206,3.0,2.0,1.0,211.0,147.0,1900.0,Port Phillip,Southern Metropolitan,3280.0,3206.0,122.0,229.41803278688525,169.8390020409914,1187.4,926.8159651912202,3734.0,2338.2864808801055
62,Albert Park,3,h,3010000.0,3.3,3206,3.0,2.0,0.0,147.0,146.0,1890.0,Port Phillip,Southern Metropolitan,3280.0,3206.0,122.0,229.41803278688525,169.8390020409914,1187.4,926.8159651912202,3734.0,2338.2864808801055
63,Albert Park,4,h,2800000.0,3.3,3206,4.0,3.0,1.0,327.0,254.0,1910.0,Port Phillip,Southern Metropolitan,3280.0,3206.0,122.0,229.41803278688525,169.8390020409914,1187.4,926.8159651912202,3734.0,2338.2864808801055
64,Albert Park,3,h,2100000.0,3.3,3206,2.0,1.0,1.0,120.0,123.0,1900.0,Port Phillip,Southern Metropolitan,3280.0,3206.0,122.0,229.41803278688525,169.8390020409914,1187.4,926.8159651912202,3734.0,2338.2864808801055
65,Albert Park,3,h,2000000.0,3.3,3206,3.0,1.0,1.0,238.0,131.0,1890.0,Port Phillip,Southern Metropolitan,3280.0,3206.0,122.0,229.41803278688525,169.8390020409914,1187.4,926.8159651912202,3734.0,2338.2864808801055
66,Albert Park,1,u,442500.0,3.3,3206,1.0,1.0,0.0,0.0,34.0,1970.0,Port Phillip,Southern Metropolitan,3280.0,3206.0,122.0,229.41803278688525,169.8390020409914,1187.4,926.8159651912202,3734.0,2338.2864808801055
67,Albert Park,4,h,2140000.0,3.3,3206,3.0,2.0,1.0,183.0,145.0,1880.0,Port Phillip,Southern Metropolitan,3280.0,3206.0,122.0,229.41803278688525,169.8390020409914,1187.4,926.8159651912202,3734.0,2338.2864808801055
68,Albert Park,2,h,980000.0,3.3,3206,2.0,1.0,0.0,79.0,68.0,1890.0,Port Phillip,Southern Metropolitan,3280.0,3206.0,122.0,229.41803278688525,169.8390020409914,1187.4,926.8159651912202,3734.0,2338.2864808801055
69,Albert Park,3,h,1740000.0,3.3,3206,3.0,2.0,2.0,147.0,134.0,1890.0,Port Phillip,Southern Metropolitan,3280.0,3206.0,122.0,229.41803278688525,169.8390020409914,1187.4,926.8159651912202,3734.0,2338.2864808801055
70,Albert Park,1,h,985000.0,3.3,3206,1.0,1.0,0.0,81.0,54.0,1900.0,Port Phillip,Southern Metropolitan,3280.0,3206.0,122.0,229.41803278688525,169.8390020409914,1187.4,926.8159651912202,3734.0,2338.2864808801055
71,Alphington,4,h,2000000.0,6.4,3078,3.0,2.0,4.0,853.0,263.0,1930.0,Darebin,Northern Metropolitan,2211.0,3078.0,74.0,111.20270270270271,88.10298763919131,605.0,376.79017149248114,2233.875,1033.5279991369368
72,Alphington,4,h,1717500.0,6.4,3078,4.0,2.0,1.0,599.0,203.0,1925.0,Darebin,Northern Metropolitan,2211.0,3078.0,74.0,111.20270270270271,88.10298763919131,605.0,376.79017149248114,2233.875,1033.5279991369368
73,Alphington,5,h,2840000.0,6.4,3078,5.0,4.0,4.0,809.0,165.0,1910.0,Darebin,Northern Metropolitan,2211.0,3078.0,74.0,111.20270270270271,88.10298763919131,605.0,376.79017149248114,2233.875,1033.5279991369368
74,Alphington,2,u,525500.0,6.4,3078,2.0,1.0,1.0,88.0,60.0,1960.0,Darebin,Northern Metropolitan,2211.0,3078.0,74.0,111.20270270270271,88.10298763919131,605.0,376.79017149248114,2233.875,1033.5279991369368
75,Alphington,2,t,805000.0,6.4,3078,2.0,2.0,3.0,155.0,140.0,2004.0,Darebin,Northern Metropolitan,2211.0,3078.0,74.0,111.20270270270271,88.10298763919131,605.0,376.79017149248114,2233.875,1033.5279991369368
76,Alphington,4,h,1830000.0,6.4,3078,4.0,2.0,2.0,606.0,112.0,1970.0,Darebin,Northern Metropolitan,2211.0,3078.0,74.0,111.20270270270271,88.10298763919131,605.0,376.79017149248114,2233.875,1033.5279991369368
77,Alphington,4,h,2100000.0,6.4,3078,4.0,2.0,2.0,575.0,271.0,2008.0,Darebin,Northern Metropolitan,2211.0,3078.0,74.0,111.20270270270271,88.10298763919131,605.0,376.79017149248114,2233.875,1033.5279991369368
78,Alphington,3,h,865000.0,6.4,3078,3.0,1.0,1.0,180.0,131.0,2010.0,Darebin,Northern Metropolitan,2211.0,3078.0,74.0,111.20270270270271,88.10298763919131,605.0,376.79017149248114,2233.875,1033.5279991369368
